shot_number,result,right_elbow_angle,right_shoulder_angle,right_wrist_extension,left_elbow_angle,right_knee_angle,left_knee_angle,right_hip_angle,shoulder_tilt,hip_tilt,knee_spread,release_height,release_x_position,body_vertical_alignment,ball_hoop_distance_x,ball_hoop_distance_y,ball_hoop_total_distance,release_angle_to_hoop
193,make,158.4157901,155.4619402,28,176.9189933,176.7500791,174.2150236,166.8691978,3,2,42,704,1060,19,113,183,215.323903,119.0272561
194,miss,99.3554896,121.8798477,5,121.8792154,112.5089143,182.3641386,148.1042753,10,5,0,683,1381,59,76,157,175.2649096,108.3742971
195,miss,81.20258939,81.20258939,1,138.7356591,176.9335142,164.2114299,174.5169613,10,1,1,722,920,35,27,196,197.850954,97.84342107
196,miss,101.2869312,120.4272447,-25,135.4358218,163.051016,155.4352283,163.5041891,10,7,17,612,1469,65,84,154,175.8859784,91.283941
197,make,114.8287513,121.9760686,12,144.2621833,151.5258481,170.4701766,158.8716353,15,3,27,593,1269,47,88,113,143.6158258,96.117213
198,make,87.5877801,75.8136151,-31,117.7710956,141.9303221,154.996669,162.790478,15,5,7,610,1101,53,58,89,107.4099058,116.9483251
199,make,156.9138014,162.1886098,-9,86.9435767,139.1931739,154.1703645,166.1038328,15,5,30,600,1102,24,65,140,154.8792651,97.5818995
200,miss,156.4934216,158.0485377,-52,99.2618437,151.6084393,140.5019345,158.5890707,12,7,27,540,1218,61,66,180,192.7001585,110.0464405
201,miss,103.1075677,93.6419225,8,130.7701784,173.1112856,140.1027647,157.6520531,10,5,24,665,1069,30,101,93,137.9460143,107.2094328
202,miss,142.3528996,142.5251047,-35,145.1262738,169.5350871,155.1770597,170.4718738,7,1,38,631,1169,42,85,173,193.2136366,117.242164
203,make,163.9911371,163.0469559,15,172.4791026,166.6362849,174.1962343,181.2963307,3,1,31,793,1345,10,112,200,229.7315138,119.3643099
204,make,169.932361,173.7259469,33,157.4626384,167.5524279,168.9209486,172.6915932,4,1,50,760,1295,17,168,211,269.9162891,114.8570547
205,miss,148.2819023,154.4709839,-17,146.0093747,165.052437,165.4698059,166.3994762,5,1,42,686,1277,43,40,154,159.5787149,127.7767682
206,miss,138.6130101,139.364979,22,183.1425626,174.5042384,159.2309634,162.8126826,10,4,39,613,1474,49,63,150,163.5970871,128.5387237
207,miss,128.5759617,131.9205296,-4,180.2551135,147.3457916,136.0255413,148.2068077,12,5,1,568,1320,51,84,210,227.1910143,98.6295747
208,miss,165.042379,163.7217367,42,169.2097294,174.4600942,170.3698258,164.3866283,2,2,61,745,1063,25,90,215,233.7072286,123.7020357
209,miss,165.4072655,169.4490633,13,177.714211,162.8199437,164.6873859,171.3597963,3,4,44,711,1128,28,102,199,224.0701686,111.0664888
210,make,171.8613963,172.0743842,27,172.0203032,172.9883778,160.391976,174.7134117,4,1,50,739,1183,7,110,224,250.1060125,114.0308619
211,make,157.3997685,158.3239491,-2,165.5046482,159.2436217,166.2200981,190.4806763,5,3,28,678,1465,27,143,199,245.4313129,109.3753322
212,make,128.4385596,128.4385596,17,108.0077305,145.5538034,161.831955,161.6036168,2,4,51,605,1276,37,46,103,112.8051417,114.0656316
213,make,160.8158146,163.0921153,30,172.7759606,164.706208,174.1756765,165.0612482,2,2,40,773,1097,11,121,203,237.2338786,117.0625761
214,miss,119.6400797,109.8598494,-57,148.1627906,160.4055917,171.7674156,154.099829,12,5,22,661,1318,47,79,154,173.4538734,96.7867152
215,make,167.8911964,168.985726,40,162.4504421,171.3727287,174.6393976,173.343572,4,2,11,753,1064,21,174,208,272.1053678,118.1188219
216,miss,78.9160868,96.5643456,-39,124.4083357,154.9591989,139.5197507,163.4340596,12,7,20,589,1253,80,78,107,133.1320287,106.199858
217,make,168.6524135,167.5381524,29,158.8022787,167.4561516,181.4226242,176.3691893,4,0,45,800,998,9,45,198,203.177741,120.9701912
218,make,169.69278,168.1109812,27,175.8198481,165.2521189,170.9239312,173.1361096,4,1,46,780,1223,12,92,216,235.9999219,125.3678831
219,make,175.1966159,174.3930258,42,153.4630772,175.7736665,173.9971199,174.8921531,3,0,35,698,1118,27,104,224,247.7404143,126.1506549
220,miss,60.5410654,45.5492534,2,158.119418,142.311168,158.2481861,175.9025533,10,5,38,550,1203,48,50,168,175.9125421,120.2931411
221,miss,157.4609586,159.087369,32,162.2023983,175.9518595,174.7002565,175.282452,2,0,59,727,1067,43,131,191,232.0771428,112.0652523
222,miss,111.7231284,99.4791063,-6,113.78827,117.6533193,142.4311394,171.8114972,10,7,6,620,1256,51,48,125,134.917764,111.3704059
223,miss,170.4447737,161.6060848,-16,112.9876488,159.2241696,155.6452462,170.1170557,10,5,16,497,1209,33,17,104,106.440595,93.9337331
224,miss,172.0789141,174.0580219,-36,117.9028541,145.1947904,154.3624892,167.2283549,12,5,3,703,1358,52,58,153,164.0041167,92.7264892
225,make,170.7092986,168.6669737,40,162.3235891,176.2338539,162.3638629,172.6036228,4,2,35,738,1078,19,77,213,227.084335,117.7847568
226,make,178.5097356,180.4762113,37,151.3122752,151.6232581,171.1217162,174.5543146,10,2,31,630,1083,22,82,163,183.1193321,108.1575782
227,make,176.9018019,176.9255628,39,178.592976,171.2643025,169.7168796,176.495959,4,0,46,765,1066,6,105,214,238.8154184,118.6451595
228,make,169.4619107,169.0521573,35,181.0757831,171.8971972,174.4459184,168.284306,4,1,41,778,994,21,102,205,229.5751591,126.2229534
229,miss,166.8076659,147.2916368,-53,162.7361025,145.8466597,137.9241882,149.4583901,10,5,3,598,1269,59,79,163,181.4998482,117.8834633
230,miss,117.5354646,128.708423,-11,141.4188305,158.5465092,154.7156284,168.4272276,8,3,31,611,1407,50,91,114,146.4223739,126.6112852
231,make,151.4561632,156.2993882,1,150.0850678,161.0789185,150.3648505,172.3689622,3,2,35,609,1136,30,51,181,189.0439316,119.0405086
232,make,174.7859288,174.7859288,46,170.7974029,171.6280055,171.786091,175.5699293,4,2,30,613,1509,39,47,109,118.7013058,113.3253509
233,make,110.2015866,130.0553905,-59,94.9110343,148.7432535,181.8105716,159.9766109,12,5,9,657,1422,44,37,96,103.1957428,106.00647
234,make,172.6345703,173.069382,44,165.0939535,177.2814424,174.9876388,173.0536819,3,0,44,758,1099,28,68,200,212.2178999,126.1663125
235,make,150.2100745,153.0290139,3,178.327978,153.8546768,147.6079485,178.8536834,5,2,0,679,1031,34,78,188,203.8205335,121.6226298
236,miss,137.738878,139.3453353,-33,175.8868391,171.7229341,149.9952345,158.169783,3,1,63,566,1147,32,105,157,188.9144353,99.7971321
237,miss,147.1369167,146.1459383,25,174.0885524,166.263142,160.3086915,162.057072,7,4,1,708,1180,51,63,204,213.6236144,114.6125711
238,miss,177.5591876,174.5354208,47,174.7310156,168.1045363,174.0161798,171.169467,3,1,47,775,1106,8,94,217,236.8596728,110.8369929
239,miss,86.8288599,84.6796496,-28,149.4915133,169.6546312,168.9352572,156.3783197,10,5,8,657,1570,37,40,134,140.0958525,108.3619339
240,make,131.7465493,138.5634319,3,168.6562775,180.7373422,169.5668801,158.0307295,5,4,11,683,1313,43,89,180,201.8781029,111.8733155
241,make,161.4215316,160.823168,43,159.1554471,168.2532116,171.892317,168.2921515,2,2,72,743,1233,21,75,204,218.3660597,124.7040167
242,make,162.1503281,160.8436697,53,169.0498171,165.6955802,177.5893097,181.4886248,3,0,60,798,1079,23,119,195,229.256868,119.6428479
243,make,156.7628433,157.4658031,15,165.469349,181.4888351,168.2605364,169.6627078,3,0,56,777,1086,18,118,209,240.4956763,121.6009104
244,miss,150.1182028,148.4901475,12,158.1814003,155.066413,154.8412117,158.8916596,5,1,0,635,1277,35,11,198,198.4103797,123.1079865
245,make,149.1053577,149.1053577,37,172.5794678,177.4844671,178.2388583,177.1312302,6,2,31,770,1273,30,136,191,234.4717467,125.4524585
246,make,165.5222824,164.9242677,36,145.1243109,170.9016406,174.7855629,178.9115762,2,0,37,735,1099,27,108,199,227.1394981,123.0796046
247,make,141.163318,136.4853365,11,141.3078362,160.8256962,168.4405392,172.7867339,3,1,12,655,1361,40,152,208,258.4765269,126.4429307
248,make,96.5940261,109.8997752,-50,152.3424422,163.3943081,175.444303,157.9031341,10,7,22,507,941,60,7,123,124.0835248,110.2477582
249,make,146.8952312,141.7401048,31,142.4452947,170.5196426,161.5590197,169.084221,7,1,32,756,1083,49,132,168,214.4539733,100.4494539
250,make,166.8931376,166.7974198,38,166.7941417,164.4166873,171.2536906,179.4660866,2,0,35,757,1091,23,104,212,237.2072569,113.694353
251,miss,159.4012855,160.7482311,33,145.7402218,180.9361998,170.8300477,178.9822869,3,0,64,740,963,16,109,200,228.5524054,118.15771
252,make,163.4557408,160.1185726,39,171.4719594,169.5840677,180.8699338,168.0969373,4,0,23,766,1254,33,88,215,233.240508,119.7689492
253,miss,141.9300188,147.3143684,-2,189.8590475,182.7764234,137.6992699,178.2388499,10,5,17,589,1133,61,81,72,109.4636222,104.7355816
254,make,170.5987684,170.153327,46,179.5261675,167.4183954,168.8153965,172.4384998,3,1,49,772,1153,8,67,207,218.3759659,107.2044262
255,make,167.6112692,166.1282727,32,166.2146106,169.502744,176.3454261,180.476266,3,1,33,755,1083,21,103,188,215.3667072,109.110697
256,make,139.140145,138.1631933,6,143.1599224,164.9295501,162.8439042,167.0251369,10,1,15,695,1448,36,114,157,194.6900476,116.5776144
257,make,141.4525061,143.1000498,-15,166.2586875,160.838056,153.6993066,166.3998971,7,1,55,643,1313,43,144,181,232.1133877,121.686548
258,miss,128.5976013,128.9442872,32,129.5753984,173.202324,173.173062,177.6326808,5,3,54,685,1137,35,133,158,207.0217201,106.3895033
259,make,165.6252066,165.5000204,27,162.1932492,163.5352159,172.5083019,169.0456356,4,1,28,787,992,12,123,195,230.9769302,118.6522011
260,make,112.848119,115.353569,45,156.7499263,154.6889395,159.8687275,184.1593045,7,4,48,646,1169,34,99,215,236.9585187,126.1833814
261,miss,145.7723273,142.5879449,46,133.7018425,166.1447606,163.9147216,176.614709,5,1,27,631,1211,52,19,168,170.0737287,109.4730705
262,miss,150.1104402,142.7177055,5,133.456192,171.9392323,172.1658934,156.1578982,5,3,56,647,1623,19,80,188,205.1345947,128.4514762
263,make,121.8517094,124.9502666,2,137.1550001,158.7565461,163.1547464,165.1620427,7,3,0,712,1029,32,79,196,212.5159596,121.6834049
264,make,165.3716117,171.2145135,-5,136.6645308,153.9312971,178.3450613,165.6224657,3,1,4,693,1237,25,103,172,201.1814448,113.4372366
265,miss,129.2221071,120.9759846,-13,159.8870163,141.0505641,179.4690901,156.7436907,12,3,12,495,1181,38,58,164,174.8676214,112.7520742
266,make,164.8844377,164.3586561,35,170.4711912,166.0959359,178.5716085,175.8615253,3,2,55,780,1209,17,85,206,223.1171806,129.2941209
267,miss,114.9864576,116.4535945,10,109.5766082,155.5300996,142.0999178,162.2874482,8,3,31,611,1288,35,73,154,171.0370223,130.9590567
268,miss,157.821741,164.5065864,13,159.5967629,160.6226268,166.8198988,173.5158884,5,1,28,698,1097,19,131,194,235.1415448,112.7091897
269,make,164.5790057,161.2570839,39,167.0768769,173.3578942,166.6162571,168.6757738,4,2,60,758,1218,20,100,214,236.8740918,116.9037316
270,make,166.1704616,167.245419,29,164.225057,171.7078494,177.1320166,168.7358713,2,0,44,817,1266,30,100,208,231.2442999,126.013417
271,make,133.8961888,120.2248107,1,99.1869171,158.2844991,157.384464,155.0322818,8,7,20,539,926,56,15,137,138.7719052,101.8386214
272,miss,162.6110172,163.6500298,-11,147.0174716,158.9264557,164.2277895,173.4067493,5,2,38,692,1407,40,118,194,227.6350746,128.4622576
273,make,141.8288863,142.3483452,-2,127.9820855,151.1795279,118.0269897,171.1632767,10,5,17,725,1254,65,29,153,156.1010817,92.3590132
274,miss,108.26926,123.0640776,-36,163.2161603,162.2620069,134.2981213,165.0703924,10,10,11,581,1526,50,75,128,148.8955271,124.9999591
275,make,159.7321045,158.0783438,33,168.6736551,176.5679231,168.9841052,178.9707543,2,1,40,687,1238,25,92,205,225.7054246,123.0956353
276,miss,149.9493269,145.6331238,-10,129.3951098,136.4444721,152.8653892,150.2096021,12,3,29,616,1233,59,43,161,166.810445,88.8482438
277,miss,110.7147034,112.6347458,-13,138.0046964,147.9249708,142.338649,193.5777128,10,10,25,572,1256,55,7,87,88.28055,97.3574113
278,make,144.1845013,142.1164229,5,136.1729694,163.7234532,159.3939236,146.5644105,5,4,71,680,1024,55,146,188,238.3879387,125.2353064
279,make,162.9736799,162.9736799,-53,140.445765,177.4769079,178.597278,170.5555981,3,1,70,577,1175,13,105,206,231.2163489,117.0083366
280,make,165.4145112,159.7932545,32,169.4841325,173.7715469,177.5176034,171.4500347,2,1,55,721,1003,28,62,207,216.8338292,118.4044548
281,make,153.6548584,148.2038163,-5,140.4538442,166.1053532,158.7368472,173.9525114,3,2,0,667,1119,44,14,185,186.5078202,120.5833642
282,miss,116.4703521,116.6206296,-68,93.2218399,155.0441683,136.9445596,172.5672491,12,3,26,643,1607,51,71,117,137.3728659,134.428439
283,make,163.3576245,163.3290838,36,165.9782717,174.1800289,177.2191975,174.5705365,3,0,51,774,1222,14,83,199,216.0564926,123.2184834
284,miss,143.3108443,143.8765466,8,124.8881471,161.1165306,161.9438089,175.0692882,5,2,16,745,1166,45,82,207,223.677972,111.1263804
285,make,157.7040016,155.0404974,-8,111.9160668,164.7248509,182.722516,183.2900737,7,1,20,630,1245,44,122,182,220.4603604,112.9632625
286,miss,171.2779702,158.8389269,41,160.0703522,152.9297835,154.2468761,183.4111442,7,2,11,696,1059,37,44,207,211.6612693,125.6137096
287,make,166.6070618,164.9599919,30,178.2527609,176.1355771,173.7898716,167.912324,3,2,48,800,1279,33,107,210,236.7535805,128.4851237
288,miss,160.9643846,157.7110855,-27,152.4461263,162.3439544,161.0012176,169.0828733,3,2,35,704,907,10,105,195,222.0101657,114.4260463
289,miss,120.6789256,106.623295,-45,134.9670002,148.8139899,139.3131384,157.1916621,10,3,22,730,1023,29,74,114,136.770324,101.1811497
290,miss,86.1045043,77.8661356,10,126.328662,116.7033308,127.0047774,159.5063037,10,3,0,687,1227,64,90,178,199.8108251,108.4170551
291,miss,101.1984833,109.822418,4,142.8271355,160.8764368,155.7426743,155.585184,12,7,18,671,1407,56,81,134,157.1447977,94.4175042
292,make,118.4413569,121.2548403,-29,135.6757215,141.121859,167.1140839,160.8641189,12,3,6,611,1349,39,14,153,154.4947655,122.8157023
293,make,144.0742972,145.6195314,43,176.2065447,164.708273,166.3931963,178.8872892,10,4,0,663,1400,46,92,154,180.6205017,114.5008977
294,make,158.5463838,156.9254995,-29,174.0307084,166.9022322,161.203755,176.8572671,5,2,60,608,1274,36,102,175,202.6953799,96.2675989
295,make,164.4799,168.0015811,52,148.7332548,154.0238902,161.3837189,181.4845679,10,1,0,576,1213,29,80,203,219.1371767,109.4743065
296,make,164.2439186,163.9468427,52,158.3635212,161.5357349,148.8843264,167.8987238,3,1,23,728,1269,20,86,198,216.2768701,130.2803136
297,make,145.9444995,145.8075779,54,165.3043495,180.3606118,170.9753771,164.3095742,3,2,32,660,1169,54,7,209,209.2393916,105.6320477
298,miss,80.865915,87.5626405,-11,106.5030053,142.2919962,132.1117972,161.373209,12,3,26,568,1137,50,29,118,121.9189411,90.6254653
299,make,159.036824,159.877207,26,165.9767038,165.677508,164.0344677,171.4687312,2,1,43,748,1176,19,104,198,224.1779537,127.0303075
300,miss,142.6326938,141.2083163,10,151.3775383,164.382358,169.7944152,176.9961366,5,1,17,655,1147,25,34,175,179.2556027,116.8142662
301,miss,178.906585,182.2581907,-29,91.8134661,146.7088152,151.5239219,158.1241911,12,5,0,686,1120,60,25,177,178.9606847,107.9428302
302,miss,128.8779972,130.2322856,-31,88.5714104,157.0708689,167.0784932,164.7798244,8,5,0,663,1294,30,47,148,156.2868336,101.0034285
303,make,144.5201767,145.4435783,-12,140.4257894,177.0041391,158.4310572,161.6247121,3,1,40,739,1307,46,53,156,165.4562535,130.0133365
304,miss,170.1985749,177.4169265,21,155.4827763,173.7281708,172.3208095,167.5274701,3,2,38,744,1208,59,23,173,175.3932929,115.3263884
305,make,130.1988422,129.0050792,41,154.1440806,166.4159579,169.752586,179.365293,5,4,0,688,1358,20,44,146,152.9265831,109.5084106
306,miss,121.3302466,121.7951429,6,143.6185211,178.5085233,158.4632086,163.5489846,3,1,31,714,1178,48,98,141,172.403342,109.7053304
307,miss,160.2840632,157.6215973,17,170.0799133,166.483167,162.235547,174.5543144,4,1,82,762,1140,27,92,207,227.4417457,121.9301868
308,miss,169.3613764,182.3009212,-9,165.4837953,160.9019876,172.8335871,158.2360836,5,1,4,647,1298,47,100,217,239.6877789,119.1582663
309,miss,157.2848068,164.5564867,-18,171.6285596,145.9835172,167.8405483,163.7557408,15,7,0,710,1458,50,73,122,143.0275786,114.9497884
310,miss,66.1307048,62.8298029,-2,98.144197,165.7272398,155.3166223,154.6576668,10,10,9,695,1412,52,49,137,145.7995019,98.8588373
311,miss,163.8270225,166.240462,23,164.1027589,185.5654356,153.6911156,173.7890566,3,3,11,659,1155,46,112,160,195.4587431,115.5493411
312,miss,94.6453812,100.1792711,-21,90.131101,156.3104945,139.3311883,170.8114672,8,7,12,564,1197,62,96,110,147.2510217,117.9221777
313,miss,137.7347641,132.0656123,7,143.9195375,148.7299508,185.2259023,180.0203258,10,3,14,739,1077,48,60,158,169.5668161,122.2413656
314,make,140.0596277,140.4934331,4,142.711003,174.5538857,153.0246769,162.8494686,5,1,7,738,1172,16,109,218,244.548082,108.5375768
315,miss,167.3427891,167.1363456,38,159.1724134,159.8059142,172.3286042,178.6909925,2,0,58,788,1273,20,104,198,224.8147873,118.1035629
316,miss,56.344353,50.2661332,12,129.4282984,135.0104665,140.4283762,170.4062003,8,3,20,576,1113,71,46,171,177.8225567,123.2557926
317,make,170.2652853,170.96861,41,168.8292171,180.1321537,174.1802153,171.4559088,3,1,31,754,1129,9,76,213,226.5113013,121.3842705
318,miss,86.3730908,69.3253333,6,83.9265773,153.7090718,161.2986924,147.487737,15,10,0,672,1375,44,85,171,191.161336,108.2286323
319,miss,97.974786,98.7947416,-9,166.3955581,160.5675981,159.8358503,162.8382663,8,7,33,684,1405,46,43,143,150.1882603,110.5582175
320,miss,176.9366188,175.7984934,7,130.9638792,142.7451204,144.2991336,160.3158029,10,7,21,671,1106,47,36,144,149.0705904,100.6924994
321,make,135.9268294,144.5082201,-23,145.0645067,143.3152455,178.8072804,153.8745423,8,5,43,682,1302,62,85,145,168.4991866,97.8931099
322,miss,159.2271526,159.2276005,34,150.8792439,172.8274578,177.8306983,168.4866337,3,1,64,747,1164,4,98,207,229.4749007,119.4830274
323,miss,158.2452478,167.2523983,-11,127.2047228,163.7511311,165.156978,171.7492745,10,1,21,732,906,30,87,166,188.2083367,132.3116963
324,miss,135.5661354,140.5241856,-20,140.3693223,174.0650866,143.7235861,163.3864518,10,3,0,666,1233,49,44,118,127.1234716,108.5396575
325,make,169.9354375,167.3123496,37,174.7650659,161.6393244,171.9753376,170.7471611,4,1,34,756,1170,20,100,194,218.372117,126.6506676
326,make,66.809026,79.428241,-43,113.6558415,141.0650806,168.6165714,140.6432579,10,10,59,596,1331,58,71,151,167.5194174,106.0749682
327,make,199.3303004,184.3005971,-14,141.6923293,166.2867949,149.4697473,165.0805054,8,7,6,637,1213,56,54,168,177.2914542,104.3832753
328,miss,168.6684774,179.825972,-11,166.5710269,165.0110994,149.5556615,173.9430718,7,2,46,596,975,36,80,170,188.8668689,123.0959444
329,miss,117.5724799,85.8682225,-15,117.788098,173.89005,148.2901611,150.1103658,12,3,11,617,1452,42,55,94,109.3824694,113.4179374
330,miss,140.9744008,150.2357917,15,139.1343361,173.2254491,152.7915635,171.6709088,5,1,0,716,1225,33,69,155,170.2446187,107.8015579
331,miss,150.529844,153.2447971,-6,138.5147304,155.8604388,128.1029181,172.4731771,10,3,29,508,1372,58,53,168,176.9926769,100.9910732
332,miss,71.4248083,77.7222034,-27,143.9218681,177.960728,115.8785368,155.0039919,10,7,8,716,1304,50,50,121,131.7854896,117.5774011
333,make,163.7042369,165.5791919,51,178.1169345,166.539292,171.7316196,171.6193412,2,1,52,762,948,31,87,205,223.2858317,118.1421017
334,make,164.0198206,165.8694487,-7,154.3776334,174.7048846,152.4173537,175.0924257,7,3,76,690,1345,26,107,198,225.5471416,117.8991117
335,miss,161.1887001,161.1887001,32,171.3268258,168.292393,179.9226837,178.4816719,2,0,28,606,1414,41,70,109,129.5414991,122.7086512
336,miss,54.9096775,42.9677835,-44,96.1872828,126.2461742,154.1949837,159.859323,15,3,17,641,1327,59,53,99,112.7617819,117.6937702
337,miss,169.7461917,167.9274168,49,150.9814894,174.9342855,183.9522781,169.0378547,2,1,36,713,1156,11,111,195,225.4950953,129.2996064
338,make,100.4803014,97.2138257,30,122.3107146,155.4033906,156.1198194,151.9937063,10,3,0,428,1378,76,58,92,109.5610417,97.2866834
339,miss,133.2521334,139.4311915,12,146.7756906,166.6001823,170.0178274,178.9391905,3,2,58,659,1239,23,46,191,197.4298107,114.5134765
340,make,162.9515592,162.8737438,-44,145.3740928,158.7408398,155.2174506,170.977944,3,2,21,644,1368,27,61,175,186.4672445,118.3899351
341,miss,126.9912885,119.8106407,-35,135.7652712,132.9986847,153.2488557,153.0464563,10,5,27,632,1149,64,23,149,151.2339534,94.5241324
342,miss,126.9836023,119.4159625,-75,159.8648055,164.3757873,148.7749147,164.2907469,15,5,28,582,1516,55,59,96,113.892198,108.4434703
343,miss,168.0893016,169.7291521,38,159.672745,176.1983193,166.2124123,169.3973145,4,0,30,792,1244,23,126,196,233.6130342,122.0915707
344,miss,101.7451829,91.6665038,-14,85.1730901,145.6814088,151.67558,159.300481,10,7,0,685,1233,41,61,128,142.5817869,90.8668625
345,make,173.1753771,176.4566062,67,153.7650597,173.2144101,162.5895065,175.2125966,2,0,36,817,1072,6,88,185,205.1785627,124.5065967
346,miss,82.8267877,68.1515351,-16,131.2721925,152.600125,151.659298,159.7679775,10,5,34,593,984,49,96,135,166.4749773,107.7684109
347,make,165.7582775,169.6361355,25,158.2225503,174.5695392,173.8979089,174.4025204,3,1,52,772,1125,25,147,203,251.4723446,114.1528242
348,make,167.2423105,159.3706019,23,163.7149931,144.4083952,172.9850134,177.012847,3,4,23,742,1370,36,64,165,177.5561761,114.6243649
349,miss,166.8279226,165.8945278,30,160.267482,168.4166023,162.2868502,160.2673536,5,4,7,673,1136,31,116,178,213.0598157,101.5893529
350,miss,175.6994231,170.8817634,-12,84.9034302,114.1206569,160.6716156,161.9443971,12,3,29,712,1355,55,55,87,103.7802335,121.2668752
351,make,155.8460621,158.3712303,29,190.5819929,169.178762,173.9227565,179.1684398,3,1,75,790,1209,26,86,196,214.8750323,119.9797533
352,make,142.3351624,129.5674145,12,150.1098126,168.9036619,163.4609477,167.4369195,7,1,0,765,1185,38,113,168,203.3042549,118.6681404
353,miss,136.9381778,126.7415344,-21,125.6411436,153.3796188,142.4570961,160.685274,10,5,24,704,1528,36,72,119,139.9914162,108.1618466
354,miss,145.8779654,134.8717481,-25,155.5104438,171.1377086,168.7545586,171.3405608,10,2,53,598,1064,13,70,184,197.0708649,116.1410149
355,make,193.3725594,194.6647712,-17,148.1441656,157.2151385,151.3582604,154.0952554,10,7,19,695,1187,40,51,136,146.1784576,118.1302982
356,miss,120.5506628,122.8547871,36,153.7839934,182.4458387,173.5983356,174.546187,5,2,51,655,1379,25,72,164,179.2752489,132.839226
357,make,166.1110532,166.9619429,37,177.7886581,167.2384181,169.6150243,169.9093622,4,0,57,787,1195,29,70,221,232.6279021,129.1394317
358,make,163.234545,165.9477117,33,167.3184209,177.7301507,169.1131426,179.2351567,3,1,22,752,960,16,74,198,212.2434669,119.1761342
359,make,167.9802849,167.7037563,41,180.2302986,170.8292331,171.8293152,179.3168513,2,2,56,745,1204,16,88,207,225.4546878,108.5203185
360,make,159.3850126,157.233225,24,185.4565455,174.6517145,174.522461,168.7699413,4,0,54,730,1166,16,80,212,227.2158042,110.7737531
361,make,127.5411353,133.9458332,2,165.8285523,152.300014,171.6884013,175.3755569,3,4,37,630,1237,20,71,205,217.5530363,122.9670193
362,miss,150.3791223,148.7975838,61,187.6979063,147.278264,146.404945,171.9558151,10,5,37,562,1384,57,81,99,128.3936335,77.2062736
363,miss,147.2235353,153.2841813,-10,164.1176051,176.0133016,172.1634008,188.5975913,5,4,19,741,1198,30,125,175,215.6101444,100.8727424
364,make,162.9923769,164.1236427,38,175.3043879,178.4573444,174.5350153,174.1669309,3,2,48,759,1269,32,62,205,214.3566642,115.8678334
365,make,155.0078995,162.1647334,37,135.3167121,171.2206999,178.2893332,173.0944682,5,3,51,692,1356,36,80,177,195.4699169,130.6341336
366,make,161.7294766,165.3629879,22,180.3615677,171.4434058,174.4954287,176.3326311,4,0,35,785,879,14,76,192,207.2585863,118.710271
367,make,161.4605076,162.1225854,27,154.7427661,161.6756736,179.1090234,171.400918,2,1,47,722,1049,14,109,197,225.26186,130.4789438
368,make,174.8612491,175.6435048,47,157.7603527,168.7782987,159.304299,177.7445819,3,0,68,737,1188,28,56,209,216.5753586,118.3399694
369,make,158.2507815,153.4090592,17,134.9896176,158.9863236,168.1978193,157.2560501,10,2,38,691,1404,36,64,187,198.3864659,120.4329803
370,miss,139.3563022,133.0637776,11,150.3727582,189.2671649,169.3295983,158.97906,3,4,18,731,1513,15,14,222,222.8722992,118.8961418
371,make,167.6016341,166.2389105,8,162.5021455,151.4306443,167.2315305,174.4150878,3,4,43,583,1085,24,83,194,211.7700293,129.9671041
372,make,168.1840987,166.8572264,35,161.8530917,172.64684,161.0963045,165.6812727,2,1,54,752,1179,25,49,196,202.2424963,118.0045237
373,miss,126.3002492,132.4518891,-2,126.4861629,140.531383,156.9917603,165.8571084,10,7,0,643,1530,52,62,159,171.2780049,96.301667
374,miss,105.643372,110.7999783,21,117.0041464,130.0132533,157.4712791,169.9906807,12,5,12,631,1141,52,21,155,157.0154894,101.8531972
375,miss,140.4566443,137.6313419,52,142.2367387,189.4122172,169.3712678,170.7364411,5,2,39,623,1086,35,19,185,186.4794681,131.9354713
376,make,172.3636429,169.9433219,39,151.2997337,177.3268814,171.7097724,178.0743329,2,0,52,723,1292,32,122,197,232.0742171,118.1639163
377,make,165.0815985,165.0815985,34,89.85383761,177.5301709,177.5104468,156.483269,12,7,34,774,712,57,89,204,222.5690904,113.5704163
378,miss,162.9579571,162.5065118,40,157.067788,176.578269,178.932078,169.0445106,3,1,37,747,1317,9,75,198,211.9456058,114.9258641
379,miss,84.5022446,64.1099228,-27,147.9385564,172.5353558,149.1114217,178.2861555,15,10,0,497,1270,56,54,72,90.8920331,103.9305595
380,make,172.8960445,171.8184748,33,165.9546204,166.8519451,174.1346597,166.1242783,2,1,60,734,1126,25,113,197,228.2723788,114.923762
381,make,149.3812781,160.1768838,17,149.2931614,158.6954155,181.3708241,163.7588489,3,1,44,731,1142,30,119,216,247.7541008,121.446898
382,make,160.6695747,161.0232164,30,162.2834489,180.3672605,179.7023053,167.8016751,2,2,57,784,1035,26,138,193,238.1522794,114.4949831
383,make,156.3090969,156.3090969,35,138.4438641,152.2403453,155.8114053,178.1637999,1,0,6,743,1217,9,121,135,181.2898232,131.8697551
384,make,168.4593418,169.0818421,66,176.1957491,171.360412,168.2222978,166.5742147,2,1,48,740,1041,33,122,204,238.5085381,128.8796648
385,make,135.0214442,128.0615278,-3,152.3859945,166.0311758,162.2870344,151.1543721,7,4,61,775,1053,57,46,189,195.3215732,102.2616267
386,make,160.4962391,159.8971402,35,151.2491477,169.6873352,174.9383994,167.8902536,3,1,62,800,1135,23,87,214,231.4424197,122.4365641
387,make,168.7014739,168.7014739,19,176.0908651,177.8825554,178.6234267,176.9779098,3,1,46,759,1191,28,131,212,249.2087478,121.712936
